"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"Apple Store 官方旗舰店","Apple/苹果 iPhone 8 Plus","¥6688.00",,"https://detail.tmall.com/item.htm?id=558509313522&skuId=4611686576936701426&user_id=1917047079&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"Apple Store 官方旗舰店","Apple/苹果 iPhone 8","¥7188.00",,"https://detail.tmall.com/item.htm?id=558420556696&skuId=4611686576847944600&user_id=1917047079&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"中国移动手机官方旗舰店","Apple/苹果 iPhone 7","¥3988.00","该款月成交 1.4万笔","https://detail.tmall.com/item.htm?id=538142903618&skuId=3417995090904&user_id=713805254&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"苏宁易购官方旗舰店","Apple/苹果 iPhone 7 Plus","¥5988.00","该款月成交 1.0万笔","https://detail.tmall.com/item.htm?id=539336903257&skuId=3231386185964&user_id=2616970884&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"华为官方旗舰店","Huawei/华为 P10前置徕卡; 前置指纹; 时尚流行色","¥3488.00","该款月成交 9490笔","https://detail.tmall.com/item.htm?id=545896335041&skuId=3489105903708&user_id=2838892713&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"苏宁易购官方旗舰店","Apple/苹果 iPhone 6s Plus","¥3388.00","该款月成交 3.3万笔","https://detail.tmall.com/item.htm?id=538869984042&skuId=3219529965809&user_id=2616970884&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"华为官方旗舰店","Huawei/华为 P10 Plus前置徕卡; 前置指纹; 时尚流行色","¥3988.00","该款月成交 4699笔","https://detail.tmall.com/item.htm?id=545866137601&skuId=3597674159239&user_id=2838892713&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"vivo亮和兄弟专卖店","vivo X9S2000万双摄新升级","¥1998.00","该款月成交 4.5万笔","https://detail.tmall.com/item.htm?id=541698048418&skuId=3437992764770&user_id=1704314487&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"中国移动官方旗舰店","Apple/苹果 iPhone 6","¥2258.00","该款月成交 3.0万笔","https://detail.tmall.com/item.htm?id=521542541763&skuId=3506322101497&user_id=1776456424&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"三星官方旗舰店","Samsung/三星 GALAXY S8 SM-G9500全视曲面屏 骁龙835 虹膜识别","¥4999.00","该款月成交 1.0万笔","https://detail.tmall.com/item.htm?id=549984427381&skuId=4611686568411815285&user_id=370627083&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"小米官方旗舰店","Xiaomi/小米 小米5X变焦双摄  大屏轻薄","¥1399.00","该款月成交 5.0万笔","https://detail.tmall.com/item.htm?id=555589089023&skuId=3625001135874&user_id=1714128138&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"小米官方旗舰店","Xiaomi/小米 红米5 plus千元全面屏  柔光自拍","¥999.00","该款月成交 10万笔","https://detail.tmall.com/item.htm?id=562553130709&skuId=3699933862765&user_id=1714128138&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"首佳誉数码专营店","vivo X20面部识别 逆光拍照","¥2998.00","该款月成交 4.6万笔","https://detail.tmall.com/item.htm?id=558531266531&skuId=3538264596821&user_id=1824502713&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"三星官方旗舰店","Samsung/三星 GALAXY Note8 SM-N9500全视曲面屏 双镜头双防抖","¥7388.00","该款月成交 2461笔","https://detail.tmall.com/item.htm?id=558531970190&skuId=4611686576959358094&user_id=370627083&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"荣耀官方旗舰店","honor/荣耀 荣耀V9 play金属机身 八核芯片","¥999.00","该款月成交 6.8万笔","https://detail.tmall.com/item.htm?id=557707384740&skuId=3633419507530&user_id=1114511827&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"vivo官方旗舰店","vivo X20plus6.43英寸全面屏 逆光也清晰","¥3298.00","该款月成交 7175笔","https://detail.tmall.com/item.htm?id=559778877551&skuId=3658573455361&user_id=883737303&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"荣耀官方旗舰店","honor/荣耀 荣耀9青春版全屏四摄 正反都美","¥1199.00","该款月成交 6.3万笔","https://detail.tmall.com/item.htm?id=562948989464&skuId=3712587966697&user_id=1114511827&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"同步飞扬数码专营店","Huawei/华为 nova 2s6英寸全面屏 2000万四镜头","¥2699.00","该款月成交 2.6万笔","https://detail.tmall.com/item.htm?id=562400790960&skuId=3698142695461&user_id=1800399917&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"oppo平实专卖店","OPPO R11s Plus更好用的全面屏手机","¥3299.00","该款月成交 6357笔","https://detail.tmall.com/item.htm?id=561355856668&skuId=3684152747554&user_id=1748529144&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"三际数码官方旗舰店","Xiaomi/小米 小米手机6变焦双摄 拍人更美","¥3149.00","该款月成交 2.6万笔","https://detail.tmall.com/item.htm?id=549091479417&skuId=3567364645033&user_id=268451883&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"三际数码官方旗舰店","Huawei/华为 畅享7护眼模式 2.5D弧面玻璃","¥999.00","该款月成交 4.2万笔","https://detail.tmall.com/item.htm?id=554933274114&skuId=3732793699627&user_id=268451883&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"广东电信亿品汇专卖店","honor/荣耀 荣耀92000万变焦双摄","¥2399.00","该款月成交 2.1万笔","https://detail.tmall.com/item.htm?id=553014157654&skuId=3567742945909&user_id=2024314280&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"oppo手机官方旗舰店","OPPO A57前置1600万拍照","¥1299.00","该款月成交 1.1万笔","https://detail.tmall.com/item.htm?id=541888888509&skuId=3419042746938&user_id=901409638&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"华为莫问专卖店","Huawei/华为 Mate 9麒麟960芯片 徕卡双镜头","¥3399.00","该款月成交 1693笔","https://detail.tmall.com/item.htm?id=541205219981&skuId=3719733714203&user_id=2615238525&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"vivo官方旗舰店","vivo XPlay6曲面2K屏 后置双摄","¥3498.00","该款月成交 1582笔","https://detail.tmall.com/item.htm?id=541929707682&skuId=3546741418045&user_id=883737303&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"首佳誉数码专营店","vivo y665.5英寸大屏 美颜自拍","¥1198.00","该款月成交 5828笔","https://detail.tmall.com/item.htm?id=543137938328&skuId=3267332129074&user_id=1824502713&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"广东电信亿品汇专卖店","honor/荣耀 荣耀V9全网通1200万像素双镜头","¥2499.00","该款月成交 1679笔","https://detail.tmall.com/item.htm?id=545491415966&skuId=3566964988886&user_id=2024314280&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
